timestamp,elapsed_trial,mode,target_color,target_found,cx,cy,bbox_w,bbox_h,area,error_x_px,alpha_rad,rho_m,v_cmd,w_cmd,focal_px
1778190922.1538475,27.826658725738525,IDLE,green,1,188,507,92,81,6859.5,-452.0,-0.33461749133337365,0.8478260869565217,0.0,0.0,1300.0
1778190922.2567842,27.929595470428467,IDLE,green,1,190,509,94,81,6813.0,-450.0,-0.3332443011116727,0.8297872340425532,0.0,0.0,1300.0
1778190922.3624682,28.035279512405396,IDLE,green,1,191,509,92,81,6831.5,-449.0,-0.3325572157833625,0.8478260869565217,0.0,0.0,1300.0
1778190922.4698327,28.142643928527832,IDLE,green,1,190,510,94,81,6842.0,-450.0,-0.3332443011116727,0.8297872340425532,0.0,0.0,1300.0
1778190922.5744147,28.247225999832153,IDLE,green,1,189,511,92,81,6874.5,-451.0,-0.33393105976648335,0.8478260869565217,0.0,0.0,1300.0
1778190922.6844604,28.357271671295166,IDLE,green,1,188,511,92,81,6823.5,-452.0,-0.33461749133337365,0.8478260869565217,0.0,0.0,1300.0
1778190922.802561,28.475372314453125,IDLE,green,1,189,511,92,81,6781.0,-451.0,-0.33393105976648335,0.8478260869565217,0.0,0.0,1300.0
1778190922.9168568,28.589668035507202,IDLE,green,1,189,513,92,81,6875.5,-451.0,-0.33393105976648335,0.8478260869565217,0.0,0.0,1300.0
1778190923.0366986,28.70950984954834,IDLE,green,1,189,515,92,81,6825.5,-451.0,-0.33393105976648335,0.8478260869565217,0.0,0.0,1300.0
1778190923.1694057,28.842216968536377,IDLE,green,1,189,516,92,81,6790.0,-451.0,-0.33393105976648335,0.8478260869565217,0.0,0.0,1300.0
1778190923.3003242,28.973135471343994,IDLE,green,1,193,506,92,81,6830.5,-447.0,-0.3311820667720673,0.8478260869565217,0.0,0.0,1300.0
1778190923.4480355,29.12084674835205,IDLE,green,1,204,493,88,81,6721.5,-436.0,-0.3235955707532928,0.8863636363636364,0.0,0.0,1300.0
